App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Bright Diet Tracker,PRODUCTIVITY,4.4,21764,20M,"500,000+",Free,0,Everyone 10+,Productivity,"February 3, 2017",4.14.8,4.0.3 and up
Smart Bible,BUSINESS,,11092,Varies with device,"500,000+",Free,0,Mature 17+,Business,"October 15, 2017",3.15.0,4.0.3 and up
Pixel Puzzle 4,SHOPPING,4.2,249,6.1M,"5,000+",Free,0,Everyone,Shopping,"November 14, 2017",2.8.4,4.1 and up
Mini Flashlight,SPORTS,4.5,27,5.6M,"1,000+",Free,0,Teen,Sports,"April 26, 2018",6.9.7,4.1 and up
Cool Dictionary,MEDICAL,,2,8.6M,50+,Free,0,Mature 17+,Medical,"April 24, 2018",4.12.6,Varies with device
Quick Maps,SOCIAL,5.0,2484,11M,"100,000+",Free,0,Everyone,Social,"October 9, 2017",8.8.0,4.1 and up
Pocket Keyboard,HEALTH_AND_FITNESS,4.4,4k,Varies with device,"100,000+",Free,0,Everyone,Health & Fitness,"July 7, 2017",7.18.0,4.4 and up
Secure Calendar,HEALTH_AND_FITNESS,4.3,371,622k,"50,000+",Free,0,Everyone,Health & Fitness,"September 13, 2017",5.12.9,5.0 and up
Pixel Puzzle,HEALTH_AND_FITNESS,4.2,2546,5.0M,"50,000+",Free,0,Mature 17+,Health & Fitness,,4.5.5,4.4 and up
Star Music Player,HEALTH_AND_FITNESS,4.3,25k,100M,"1,000,000+",Free,0,Everyone,Health & Fitness,"June 5, 2018",3.9.9,4.0.3 and up
Free Coloring Book,PRODUCTIVITY,4.1,3673,30M,"500,000+",Free,0,Mature 17+,Productivity,"March 28, 2017",Varies with device,4.4 and up
Pro Translator,TRAVEL_AND_LOCAL,4.5,20534,29M,"500,000+",Paid,$2.99,Everyone,Travel & Local,"July 14, 2018",5.1.7,Varies with device
Super Flashlight 18,SOCIAL,4.4,2.8k,13M,"50,000+",Free,0,Everyone,Social,"March 20, 2017",4.9.9,4.1 and up
Bright Coloring Book,FINANCE,4.8,100,2.2M,"5,000+",Free,0,Everyone,Finance,"February 16, 2018",4.9.4,4.4 and up
Pocket Launcher,SOCIAL,4.9,0,50M,1+,Free,0,Everyone,Social,"January 26, 2017",Varies with device,4.4 and up
Super Translator,FINANCE,3.7,6895,Varies with device,"50,000+",Free,0,Everyone,Finance,"February 7, 2018",4.16.5,4.0.3 and up
Super Coloring Book,PHOTOGRAPHY,4.2,2622,27M,"50,000+",Free,0,Everyone,Photography,"June 15, 2018",6.17.4,4.1 and up
Pocket Notes,SOCIAL,4.6,8.9k,3.7M,"500,000+",Free,0,Mature 17+,Social,"May 12, 2017",5.17.8,4.4 and up
Free Maps 15,TOOLS,4.2,66,37M,"5,000+",Free,0,Mature 17+,Tools,"March 9, 2016",8.12.6,4.1 and up
Smart Puzzle 13,MAPS_AND_NAVIGATION,4.7,205,25M,"10,000+",Free,0,Mature 17+,Maps & Navigation,"July 27, 2017",8.7.4,4.1 and up
Magic Keyboard,TOOLS,4.1,120.2k,52M,"5,000,000+",Free,0,Everyone,Tools,"October 30, 2016",2.16.5,4.4 and up
Star Notes,SPORTS,3.5,10.8M,27M,"500,000,000+",Free,0,Everyone,Sports,"August 28, 2017",8.5.9,Varies with device
Super Workout,FAMILY,4.1,2.2k,8.9M,"50,000+",Free,0,Everyone,Casual,"January 17, 2018",Varies with device,4.0.3 and up
Daily VPN 9,HEALTH_AND_FITNESS,4.1,65288,16M,"5,000,000+",Free,0,Everyone,Health & Fitness,"December 6, 2017",6.0.4,5.0 and up
Star Maps 16,BOOKS_AND_REFERENCE,,1.1k,6.5M,"50,000+",Free,0,Everyone,Books & Reference,"January 23, 2018",2.17.6,4.4 and up
Daily Recipes 6,ART_AND_DESIGN,,1.7M,7.9M,"50,000,000+",Free,0,Everyone,Art & Design,"July 22, 2016",4.6.0,4.1 and up
Tiny Bible 13,BOOKS_AND_REFERENCE,4.9,8k,6.8M,"500,000+",Free,0,Teen,Books & Reference,"June 16, 2017",6.9.6,4.4 and up
Simple Keyboard,EDUCATION,4.6,188,1.3M,"10,000+",Free,0,Everyone,Education,"October 16, 2017",5.8.3,4.0.3 and up
Bright Radio 8,TOOLS,4.4,28613,2.3M,"500,000+",Free,0,Everyone,Tools,"June 17, 2017",3.19.2,Varies with device
Mini Weather,TOOLS,4.4,2273,30M,"100,000+",Free,0,Everyone,Tools,"June 6, 2017",2.18.7,4.1 and up
Smart Diet Tracker 18,TOOLS,3.6,10224,13M,"500,000+",Free,0,Mature 17+,Tools,"February 25, 2016",5.2.9,Varies with device
Mini Flashlight,SOCIAL,4.1,4.2k,7.4M,"50,000+",Free,0,Everyone,Social,"November 9, 2016",2.8.5,4.1 and up
Free Calendar 9,BOOKS_AND_REFERENCE,4.4,30,19M,"1,000+",Free,0,Everyone,Books & Reference,"June 27, 2017",6.16.5,4.4 and up
Cool Maps,GAME,3.7,1994,22M,"50,000+",Free,0,Mature 17+,Action,"October 25, 2016",Varies with device,4.1 and up
Bright Flashlight,SHOPPING,4.5,371,7.1M,"10,000+",Free,0,Everyone,Shopping,"June 11, 2018",3.18.3,4.0.3 and up
Pocket Keyboard,EDUCATION,3.1,29275,3.5M,"500,000+",Free,0,Everyone,Education,"November 4, 2015",7.6.1,5.0 and up
Star Workout,TRAVEL_AND_LOCAL,3.6,44,21M,"5,000+",Paid,$2.99,Everyone,Travel & Local,"December 2, 2015",8.15.0,4.4 and up
Happy Scanner,ART_AND_DESIGN,3.8,73,5.7M,"5,000+",Free,0,Everyone,Art & Design,"April 14, 2018",1.0.6,4.0.3 and up
Pro Workout,BUSINESS,4.2,66,10M,"1,000+",Free,0,Everyone,Business,"January 13, 2017",5.3.8,4.4 and up
Bright Diet Tracker,LIFESTYLE,4.3,2183,11M,"100,000+",Paid,$2.99,Teen,Lifestyle,"December 20, 2017",5.14.5,4.4 and up
Star Photo Editor 10,SHOPPING,4.3,8064,12M,"500,000+",Free,0,Teen,Shopping,"April 29, 2018",2.18.6,4.1 and up
Bright Dictionary 12,EDUCATION,5.0,1804,2.4M,"100,000+",Free,0,Teen,Education,"December 21, 2017",Varies with device,4.1 and up
Daily Workout,LIFESTYLE,3.5,27.5k,Varies with device,"500,000+",Free,0,Everyone,Lifestyle,"January 24, 2018",4.9.5,4.4 and up
Mini Weather 13,GAME,4.0,9k,17M,"500,000+",Free,0,Everyone 10+,Action,"May 9, 2018",1.4.9,4.0.3 and up
Smart Recipes,SPORTS,5.0,69,20M,"5,000+",Free,0,Everyone,Sports,"July 24, 2018",7.0.4,4.0.3 and up
Quick Radio,TOOLS,4.2,64,11M,"5,000+",Free,0,Everyone,Tools,"September 10, 2017",7.0.1,4.0.3 and up
Cool Weather,ENTERTAINMENT,3.6,16.5k,Varies with device,"500,000+",Free,0,Everyone,Entertainment,"April 3, 2016",4.4.4,5.0 and up
Pocket Workout 14,SPORTS,4.3,131,Varies with device,"5,000+",Free,0,Everyone,Sports,"December 17, 2016",4.5.4,4.1 and up
Mini Messenger 16,ENTERTAINMENT,3.8,964,6.7M,"10,000+",Free,0,Teen,Entertainment,"May 4, 2018",Varies with device,Varies with device
Pixel VPN,ART_AND_DESIGN,4.9,12226,9.0M,"500,000+",Free,0,Teen,Art & Design,"March 2, 2016",Varies with device,Varies with device
Easy Diet Tracker,COMMUNICATION,4.0,5431,23M,"100,000+",Free,0,Everyone,Communication,"November 9, 2017",2.5.1,5.0 and up
Pro Translator,SOCIAL,4.4,495,6.0M,"50,000+",Free,0,Everyone,Social,"July 30, 2017",2.15.1,5.0 and up
Smart Workout,PRODUCTIVITY,4.1,21,30M,500+,Free,0,Everyone 10+,Productivity,"January 2, 2018",6.12.8,4.0.3 and up
Mini Keyboard 11,TRAVEL_AND_LOCAL,,0,7.4M,1+,Free,0,Everyone,Travel & Local,"March 16, 2018",6.2.9,4.0.3 and up
Quick Photo Editor,HEALTH_AND_FITNESS,4.1,1556,11M,"50,000+",Free,0,Everyone,Health & Fitness,"September 18, 2015",1.6.0,4.4 and up
Tiny Budget,PRODUCTIVITY,4.4,1412,Varies with device,"50,000+",Free,0,Everyone,Productivity,"February 16, 2017",6.11.3,4.1 and up
Free Scanner,SPORTS,4.3,29,7.0M,500+,Free,0,Everyone,Sports,"October 15, 2017",4.15.4,4.0.3 and up
Fast Chess,MEDICAL,4.6,3702,20M,"50,000+",Free,0,Everyone,Medical,"May 20, 2018",4.9.7,Varies with device
Happy Scanner,PRODUCTIVITY,4.3,263,24M,"5,000+",Free,0,Teen,Productivity,"January 5, 2018",1.3.8,5.0 and up
Easy Bible,PRODUCTIVITY,4.8,7,8.5M,100+,Paid,$0.99,Mature 17+,Productivity,"May 18, 2018",3.9.6,4.1 and up
Tiny Dictionary,SHOPPING,3.6,12728,28M,"500,000+",Free,0,Everyone,Shopping,"October 8, 2015",8.9.5,Varies with device
Happy Calendar,SOCIAL,4.3,427,27M,"50,000+",Free,0,Mature 17+,Social,"March 23, 2017",7.6.0,4.1 and up
Pro Radio,HEALTH_AND_FITNESS,4.5,2.6M,12M,"50,000,000+",Free,0,Everyone,Health & Fitness,"February 20, 2018",7.11.0,4.4 and up
Tiny Translator 2,ART_AND_DESIGN,4.8,138,38M,"5,000+",Free,0,Mature 17+,Art & Design,"August 20, 2016",3.2.1,Varies with device
Bright Scanner,BUSINESS,3.5,14244,14M,"500,000+",Free,0,Everyone,Business,"February 10, 2018",Varies with device,4.4 and up
Pocket Workout 3,EDUCATION,,4,2.0M,100+,Free,0,Everyone,Education,"March 23, 2018",4.1.1,4.1 and up
Bright Messenger,MEDICAL,4.5,19984,7.9M,"500,000+",Free,0,Everyone,Medical,"July 10, 2016",3.10.4,4.4 and up
Star Launcher,MEDICAL,3.9,9187,2.4M,"500,000+",Free,0,Everyone 10+,Medical,"December 8, 2017",5.0.7,4.1 and up
Smart Bible,TOOLS,4.7,618,62M,"50,000+",Free,0,Everyone,Tools,"January 26, 2018",5.12.5,4.1 and up
Pixel Bible 9,FAMILY,4.7,399,Varies with device,"5,000+",Free,0,Teen,Casual,"December 5, 2016",2.12.2,4.4 and up
Happy Messenger,ART_AND_DESIGN,4.3,14671,10M,"100,000+",Free,0,Everyone,Art & Design,"May 18, 2016",1.0.6,5.0 and up
Tiny Radio 16,HEALTH_AND_FITNESS,4.3,2018,12M,"100,000+",Free,0,Everyone,Health & Fitness,"January 3, 2018",5.2.9,4.1 and up
Mini Flashlight 11,MEDICAL,4.4,539,100M,"10,000+",Free,0,Everyone,Medical,"February 5, 2017",2.6.2,4.4 and up
Happy Diet Tracker,HEALTH_AND_FITNESS,4.6,1464,39M,"100,000+",Free,0,Everyone,Health & Fitness,"July 29, 2017",2.11.6,4.1 and up
Free Chess,ART_AND_DESIGN,4.7,133,605k,"5,000+",Free,0,Everyone,Art & Design,"October 13, 2016",7.0.7,5.0 and up
Free Radio,MAPS_AND_NAVIGATION,4.0,202674,7.6M,"5,000,000+",Free,0,Everyone,Maps & Navigation,"December 5, 2017",Varies with device,4.1 and up
Fast Radio,LIFESTYLE,3.8,27,3.6M,"1,000+",Free,0,Everyone,Lifestyle,,2.5.7,Varies with device
Tiny Recipes,ART_AND_DESIGN,3.9,6795,14M,"500,000+",Free,0,Everyone,Art & Design,"June 9, 2017",3.14.9,Varies with device
Simple Weather 18,ENTERTAINMENT,3.7,305802,3.6M,"5,000,000+",Free,0,Everyone,Entertainment,"November 15, 2016",1.1.6,Varies with device
Easy Bible,LIFESTYLE,4.6,1853,8.1M,"50,000+",Free,0,Everyone,Lifestyle,"January 1, 2017",7.5.8,4.4 and up
Magic Dictionary 4,MAPS_AND_NAVIGATION,4.4,6.9k,Varies with device,"100,000+",Free,0,Everyone,Maps & Navigation,"June 1, 2018",6.12.5,4.0.3 and up
Pro Flashlight 9,MAPS_AND_NAVIGATION,4.0,172,18M,"10,000+",Free,0,Everyone,Maps & Navigation,"February 14, 2018",8.5.9,4.0.3 and up
Tiny Budget,ENTERTAINMENT,4.0,397k,34M,"10,000,000+",Free,0,Everyone,Entertainment,"May 17, 2017",2.6.4,4.0.3 and up
Happy Scanner 9,SHOPPING,3.5,377,545k,"10,000+",Free,0,Teen,Shopping,"April 5, 2018",Varies with device,5.0 and up
Free Radio 13,BUSINESS,4.7,4.3k,19M,"500,000+",Free,0,Everyone,Business,"August 25, 2016",3.11.9,4.4 and up
Quick Messenger,ART_AND_DESIGN,4.7,187248,11M,"5,000,000+",Free,0,Everyone,Art & Design,"September 15, 2016",1.18.9,4.4 and up
Cool Translator,GAME,3.3,3k,24M,"100,000+",Free,0,Everyone,Action,"March 12, 2018",7.8.3,4.4 and up
Pocket Budget 10,FINANCE,4.3,1.9k,39M,"50,000+",Free,0,Everyone,Finance,"May 20, 2017",5.18.9,5.0 and up
Pixel Wallpapers,ART_AND_DESIGN,4.8,116197,5.8M,"5,000,000+",Free,0,Everyone,Art & Design,"December 22, 2017",2.19.1,4.0.3 and up
Happy Scanner 9,SHOPPING,4.2,1,34M,50+,Free,0,Everyone,Shopping,"July 3, 2017",7.6.1,4.0.3 and up
Pro Messenger,TOOLS,3.1,31680,5.8M,"1,000,000+",Free,0,Everyone 10+,Tools,"July 15, 2018",8.6.4,5.0 and up
Quick Coloring Book 16,BOOKS_AND_REFERENCE,3.8,170,12M,"5,000+",Paid,$4.99,Everyone,Books & Reference,"September 3, 2015",6.16.4,4.0.3 and up
Tiny Recipes 12,SPORTS,4.7,4451,16M,"50,000+",Free,0,Everyone,Sports,"June 8, 2018",Varies with device,4.1 and up
Pocket Chess,PRODUCTIVITY,4.0,11.8k,Varies with device,"500,000+",Free,0,Everyone,Productivity,"March 13, 2018",Varies with device,4.4 and up
Secure Flashlight,COMMUNICATION,4.2,6k,13M,"100,000+",Free,0,Everyone,Communication,"March 30, 2018",4.10.9,5.0 and up
Bright Scanner,FAMILY,4.8,66,4.9M,"1,000+",Free,0,Everyone,Casual,"February 8, 2017",5.1.1,4.0.3 and up
Magic Coloring Book,HEALTH_AND_FITNESS,3.8,5,Varies with device,100+,Free,0,Everyone,Health & Fitness,"January 22, 2018",2.12.1,4.0.3 and up
Fast Keyboard,PRODUCTIVITY,4.2,3.8M,11M,"100,000,000+",Free,0,Everyone,Productivity,"January 30, 2018",4.7.2,4.4 and up
Quick Recipes,MEDICAL,4.2,596,1.5M,"50,000+",Free,0,Everyone,Medical,"December 13, 2016",6.1.3,4.0.3 and up
Simple Workout 13,SHOPPING,4.3,1k,Varies with device,"50,000+",Free,0,Everyone,Shopping,"June 1, 2018",4.7.0,4.1 and up
Ultimate Bible,MEDICAL,5.0,259,75M,"5,000+",Free,0,Everyone,Medical,"March 18, 2018",8.7.6,4.1 and up
Pro Scanner,LIFESTYLE,4.3,2.1k,6.1M,"50,000+",Free,0,Everyone,Lifestyle,"April 4, 2018",2.1.2,Varies with device
Free Bible,PHOTOGRAPHY,4.7,26402,Varies with device,"500,000+",Free,0,Teen,Photography,"January 25, 2017",2.14.1,4.1 and up
Simple Recipes,LIFESTYLE,,17,Varies with device,500+,Free,0,Everyone,Lifestyle,"August 28, 2017",Varies with device,4.4 and up
Ultimate Workout,EDUCATION,3.5,36,4.2M,500+,Free,0,Everyone,Education,"March 19, 2018",1.16.9,5.0 and up
Super Keyboard,TRAVEL_AND_LOCAL,4.7,1404,25M,"100,000+",Paid,$4.99,Everyone,Travel & Local,"June 21, 2018",3.18.5,4.1 and up
Happy Translator,SOCIAL,4.2,1329,Varies with device,"50,000+",Free,0,Everyone,Social,"May 5, 2018",2.8.2,4.1 and up
Super Photo Editor 4,PRODUCTIVITY,5.0,107423,Varies with device,"5,000,000+",Free,0,Mature 17+,Productivity,"August 27, 2017",8.12.8,4.1 and up
Magic Music Player,SOCIAL,4.8,1.5k,2.2M,"100,000+",Free,0,Teen,Social,"July 17, 2018",6.19.1,5.0 and up
Bright VPN 19,COMMUNICATION,4.8,97,836k,"5,000+",Free,0,Everyone,Communication,"May 1, 2017",3.0.9,4.0.3 and up
Secure Messenger 4,BOOKS_AND_REFERENCE,4.7,43,Varies with device,500+,Free,0,Everyone,Books & Reference,"August 1, 2018",6.18.1,Varies with device
Pro Bible 2,ART_AND_DESIGN,4.3,25281,18M,"1,000,000+",Free,0,Mature 17+,Art & Design,"May 16, 2018",Varies with device,4.4 and up
Daily Translator 13,SHOPPING,4.3,5248,Varies with device,"50,000+",Free,0,Everyone,Shopping,"July 25, 2018",3.4.3,4.1 and up
Smart Launcher 13,MAPS_AND_NAVIGATION,3.8,3k,7.3M,"500,000+",Free,0,Everyone,Maps & Navigation,"July 11, 2018",5.5.6,Varies with device
Daily Photo Editor 14,SHOPPING,5.0,6k,Varies with device,"50,000+",Free,0,Everyone,Shopping,"July 1, 2018",7.1.2,5.0 and up
Tiny Launcher,PRODUCTIVITY,3.2,751,6.5M,"10,000+",Free,0,Everyone,Productivity,"September 28, 2017",7.16.5,4.0.3 and up
Star Weather,EDUCATION,3.9,6963,183k,"100,000+",Free,0,Mature 17+,Education,"July 10, 2018",8.0.7,4.1 and up
Cool Workout 8,PHOTOGRAPHY,4.3,81,28M,"5,000+",Free,0,Teen,Photography,"May 10, 2016",Varies with device,Varies with device
Quick Chess 3,SOCIAL,5.0,144,20M,"5,000+",Free,0,Everyone,Social,"July 20, 2017",8.3.5,5.0 and up
Happy Notes,PHOTOGRAPHY,3.9,406,Varies with device,"50,000+",Free,0,Everyone,Photography,"February 13, 2018",6.1.5,4.0.3 and up
Tiny Bible,FAMILY,4.0,93,37M,"5,000+",Free,0,Everyone,Casual,"February 26, 2017",5.0.2,Varies with device
Pixel VPN,PRODUCTIVITY,4.2,17707,4.5M,"500,000+",Free,0,Everyone,Productivity,"June 9, 2017",4.15.5,5.0 and up
Quick Radio,HEALTH_AND_FITNESS,3.6,1169,34M,"50,000+",Free,0,Everyone,Health & Fitness,"April 20, 2016",7.11.2,5.0 and up
Smart Radio,HEALTH_AND_FITNESS,4.6,31,8.4M,"5,000+",Free,0,Everyone,Health & Fitness,"July 11, 2018",6.18.8,4.0.3 and up
Tiny Dictionary 15,PHOTOGRAPHY,4.7,288,21M,"5,000+",Free,0,Teen,Photography,"February 12, 2018",8.19.0,4.0.3 and up
Cool Flashlight 18,COMMUNICATION,,7,Varies with device,500+,Free,0,Everyone,Communication,"February 10, 2018",1.16.0,5.0 and up
Simple Chess 12,MEDICAL,4.6,1.0k,82M,"50,000+",Free,0,Everyone,Medical,"April 17, 2017",2.6.2,5.0 and up
Secure Wallpapers,SOCIAL,4.5,20,3.4M,500+,Free,0,Everyone,Social,"June 11, 2018",2.19.8,4.4 and up
Easy Scanner,LIFESTYLE,4.0,1934,9.0M,"50,000+",Free,0,Everyone,Lifestyle,"January 25, 2018",6.1.8,4.1 and up
Secure Chess,ART_AND_DESIGN,3.5,77,4.8M,"5,000+",Free,0,Everyone,Art & Design,"May 25, 2017",5.11.3,4.0.3 and up
Magic Weather 11,ART_AND_DESIGN,4.3,31,6.7M,"1,000+",Free,0,Everyone,Art & Design,"July 2, 2017",2.5.3,5.0 and up
Pixel Wallpapers,SHOPPING,4.3,1k,16M,"10,000+",Free,0,Everyone,Shopping,"January 16, 2018",1.17.7,Varies with device
Daily Keyboard 8,MEDICAL,3.8,260826,24M,"5,000,000+",Free,0,Everyone 10+,Medical,"October 23, 2017",3.19.5,4.4 and up
Free Workout,EDUCATION,4.7,256,35M,"5,000+",Free,0,Everyone,Education,"July 9, 2018",1.17.1,5.0 and up
Free Weather 3,COMMUNICATION,4.5,65,4.6M,"1,000+",Free,0,Everyone,Communication,"May 29, 2018",3.14.3,5.0 and up
Happy Puzzle,SPORTS,4.5,273,29M,"10,000+",Free,0,Everyone,Sports,"September 4, 2015",1.7.1,4.1 and up
Tiny Dictionary 12,FAMILY,4.7,0,13M,1+,Free,0,Everyone,Casual,"May 9, 2018",2.5.8,5.0 and up
Free Music Player 4,SOCIAL,4.7,871,Varies with device,"50,000+",Free,0,Everyone,Social,"December 14, 2017",8.6.7,4.4 and up
Star Calendar,ENTERTAINMENT,4.3,1.3M,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"August 5, 2016",2.5.9,5.0 and up
Easy Flashlight,PRODUCTIVITY,2.9,28,Varies with device,500+,Free,0,Everyone,Productivity,"June 7, 2017",2.8.3,Varies with device
Star Music Player,BOOKS_AND_REFERENCE,2.9,26195,18M,"500,000+",Free,0,Everyone,Books & Reference,"February 20, 2016",3.13.2,4.1 and up
Secure Wallpapers,FAMILY,3.8,5352,18M,"100,000+",Paid,$4.99,Everyone,Casual,"January 13, 2016",8.4.3,4.0.3 and up
Quick Music Player 15,GAME,3.6,6082,18M,"500,000+",Free,0,Everyone,Action,"May 9, 2017",4.14.7,4.1 and up
Pro Bible 4,HEALTH_AND_FITNESS,3.8,21666,12M,"1,000,000+",Free,0,Everyone,Health & Fitness,"September 3, 2017",3.4.7,5.0 and up
Ultimate Scanner,LIFESTYLE,4.5,19,25M,"1,000+",Free,0,Everyone,Lifestyle,"June 11, 2018",Varies with device,4.1 and up
Pocket VPN 16,MEDICAL,3.5,372877,Varies with device,"10,000,000+",Paid,$9.99,Everyone,Medical,"February 23, 2017",5.19.6,4.1 and up
Free Messenger,PRODUCTIVITY,3.9,36,20M,"5,000+",Free,0,Everyone,Productivity,"April 10, 2018",5.4.5,4.4 and up
Mini Launcher,HEALTH_AND_FITNESS,4.3,1243,16M,"50,000+",Free,0,Everyone,Health & Fitness,"August 17, 2017",2.0.8,5.0 and up
Tiny Coloring Book,TOOLS,3.9,0,Varies with device,1+,Free,0,Mature 17+,Tools,"March 9, 2018",7.1.9,Varies with device
Cool VPN,FAMILY,,295,4.5M,"5,000+",Free,0,Everyone 10+,Casual,"May 18, 2018",4.3.0,Varies with device
Free Workout,BOOKS_AND_REFERENCE,4.6,17.7k,19M,"500,000+",Free,0,Mature 17+,Books & Reference,"December 29, 2017",2.15.2,5.0 and up
Pocket Recipes,TRAVEL_AND_LOCAL,4.3,54,12M,"5,000+",Free,0,Everyone,Travel & Local,"May 4, 2018",6.1.9,4.4 and up
Tiny VPN 13,LIFESTYLE,3.9,877,620k,"10,000+",Free,0,Everyone,Lifestyle,"May 15, 2018",5.15.7,5.0 and up
Cool Dictionary,ENTERTAINMENT,3.8,1970,31M,"100,000+",Free,0,Everyone,Entertainment,,6.12.7,4.1 and up
Easy Launcher,SHOPPING,3.8,1791,55M,"100,000+",Free,0,Everyone,Shopping,"July 7, 2018",3.14.3,4.4 and up
Star Keyboard,TOOLS,4.7,74,14M,"5,000+",Free,0,Everyone 10+,Tools,"August 15, 2017",6.11.7,Varies with device
Secure Weather,FINANCE,4.7,65.7k,8.6M,"5,000,000+",Free,0,Everyone,Finance,"June 18, 2018",2.11.2,4.1 and up
Daily Budget,SHOPPING,4.1,227k,17M,"10,000,000+",Free,0,Everyone,Shopping,"July 3, 2018",1.8.0,5.0 and up
Quick Maps,BUSINESS,3.6,50246,42M,"1,000,000+",Free,0,Everyone,Business,"June 24, 2018",7.15.1,4.0.3 and up
Quick Notes,TRAVEL_AND_LOCAL,4.6,116k,13M,"5,000,000+",Free,0,Everyone,Travel & Local,"March 24, 2017",1.2.6,4.1 and up
Cool Flashlight 10,BUSINESS,4.3,1,13M,50+,Free,0,Everyone,Business,"April 30, 2018",Varies with device,4.4 and up
Daily Radio,SPORTS,4.6,16545,Varies with device,"1,000,000+",Free,0,Everyone,Sports,"May 13, 2017",4.17.5,4.4 and up
Free Budget 10,FAMILY,5.0,716,13M,"50,000+",Free,0,Everyone,Casual,"September 18, 2016",7.10.2,4.0.3 and up
Super Diet Tracker,SOCIAL,4.6,1.4k,13M,"50,000+",Free,0,Teen,Social,"April 16, 2018",6.13.5,4.4 and up
Bright Dictionary,MEDICAL,4.2,3k,100M,"100,000+",Free,0,Everyone,Medical,"January 5, 2018",5.10.8,4.0.3 and up
Cool Diet Tracker,ENTERTAINMENT,4.2,159,44M,"10,000+",Free,0,Everyone,Entertainment,"June 1, 2017",5.2.8,Varies with device
Ultimate Puzzle,MAPS_AND_NAVIGATION,4.4,644,5.0M,"10,000+",Free,0,Everyone,Maps & Navigation,"April 24, 2017",2.0.6,4.0.3 and up
Happy Photo Editor,GAME,3.6,637,11M,"10,000+",Free,0,Everyone,Action,"March 8, 2016",8.9.7,Varies with device
Pocket Chess 14,SHOPPING,3.7,421231,19M,"10,000,000+",Free,0,Everyone,Shopping,"May 18, 2018",4.6.7,Varies with device
Ultimate Weather,SPORTS,4.3,20407,31M,"500,000+",Free,0,Everyone,Sports,"February 26, 2018",4.18.1,5.0 and up
Ultimate Launcher,HEALTH_AND_FITNESS,3.9,452,3.6M,"10,000+",Free,0,Everyone,Health & Fitness,"November 9, 2017",4.16.9,5.0 and up
Secure Weather,ART_AND_DESIGN,4.3,3548,6.2M,"100,000+",Free,0,Everyone 10+,Art & Design,"December 24, 2017",8.9.9,4.0.3 and up
Magic Weather,ENTERTAINMENT,4.4,1.4M,7.7M,"100,000,000+",Free,0,Everyone 10+,Entertainment,"August 9, 2015",4.8.4,4.1 and up
Pocket Workout 5,GAME,4.7,2.1k,10M,"100,000+",Free,0,Everyone,Action,"July 18, 2018",7.12.8,5.0 and up
Mini Launcher,EDUCATION,3.6,78,28M,"5,000+",Free,0,Teen,Education,"April 3, 2014",4.8.8,4.4 and up
Secure Recipes 16,MAPS_AND_NAVIGATION,4.5,34k,48M,"5,000,000+",Free,0,Everyone,Maps & Navigation,"May 19, 2017",8.4.0,4.1 and up
Mini Launcher,FINANCE,4.5,2229,39M,"100,000+",Free,0,Everyone,Finance,"November 16, 2016",7.8.9,5.0 and up
Secure Weather,FINANCE,4.3,2k,7.4M,"50,000+",Free,0,Mature 17+,Finance,"February 17, 2018",8.16.4,Varies with device
Bright Scanner,MEDICAL,4.2,132,20M,"1,000+",Free,0,Everyone,Medical,"February 17, 2017",1.12.4,5.0 and up
Simple Weather,FAMILY,4.2,8k,Varies with device,"500,000+",Free,0,Everyone,Casual,"June 29, 2018",4.9.1,5.0 and up
Pro Wallpapers,FAMILY,4.9,596,48M,"50,000+",Free,0,Everyone,Casual,"January 30, 2018",Varies with device,Varies with device
Smart Launcher,BUSINESS,4.5,853,26M,"50,000+",Free,0,Everyone,Business,"November 11, 2017",2.8.1,4.1 and up
Magic Radio 4,FAMILY,4.2,54,Varies with device,"1,000+",Paid,$2.99,Everyone,Casual,"May 25, 2017",Varies with device,4.4 and up
Secure Music Player,TOOLS,3.8,134,18M,"5,000+",Free,0,Everyone 10+,Tools,"November 26, 2017",4.10.2,4.1 and up
Bright Calendar 8,SPORTS,,9,11M,500+,Free,0,Everyone,Sports,"August 25, 2017",1.11.7,4.1 and up
Ultimate Workout,SOCIAL,4.5,305,Varies with device,"5,000+",Free,0,Everyone,Social,"June 7, 2018",8.15.4,4.4 and up
Star Translator 16,SOCIAL,,1,4.1M,50+,Free,0,Everyone,Social,"March 23, 2018",4.10.6,4.1 and up
Pocket Budget,LIFESTYLE,4.5,7,16M,100+,Free,0,Teen,Lifestyle,"January 24, 2017",8.8.5,5.0 and up
Pro Music Player,TOOLS,4.4,76,22M,"5,000+",Free,0,Everyone,Tools,"May 28, 2018",4.2.4,4.1 and up
Happy Recipes,FINANCE,4.7,345,33M,"5,000+",Free,0,Teen,Finance,"May 5, 2018",2.11.7,4.1 and up
Cool VPN,ENTERTAINMENT,,7,8.6M,100+,Free,0,Everyone,Entertainment,"February 5, 2018",Varies with device,Varies with device
Daily Radio,BUSINESS,3.4,924,14M,"50,000+",Free,0,Everyone,Business,"December 30, 2017",1.0.5,4.1 and up
Smart Diet Tracker,BOOKS_AND_REFERENCE,,91,11M,"5,000+",Free,0,Teen,Books & Reference,"July 11, 2018",6.0.5,5.0 and up
